video_id,frame_index,timestamp_seconds,readable,brightness,sharpness,reason
video-3,8065,269.4615764695903,True,134.31442033179013,14.959763213600612,usable sample
video-3,8686,290.2099508015947,True,110.07330994405864,16.783264488508003,usable sample
video-3,9306,310.92491390279076,True,93.68216013213734,28.281229865868394,usable sample
video-3,9927,331.67328823479517,True,93.93620635609568,29.20038435559214,usable sample
video-3,10547,352.3882513359912,True,116.00151728877314,19.152045597007213,usable sample
video-3,11168,373.1366256679956,True,111.58976538387346,12.60852128420821,usable sample
video-3,11788,393.8515887691916,True,103.1705541087963,28.880665016602883,usable sample
video-5,0,0.0,True,107.24207067418982,41.27348017680961,usable sample
video-5,355,11.835526640964808,True,106.90277548707562,20.880124421150942,usable sample
video-5,710,23.671053281929616,True,116.76058557581018,18.13380521492937,usable sample
video-5,1065,35.506579922894424,True,123.60478009259259,18.155791495301802,usable sample
