frame_id,video_id,source_frame_index,timestamp_seconds,output_path,status,sharpness,duplicate_of
video-3__f000730__t24.400,video-3,730,24.4,data\frames\video-3\frame_000123.png,selected,137.9427461489851,
video-3__f000736__t24.600,video-3,736,24.6,data\frames\video-3\frame_000124.png,excluded_duplicate,140.23914861784857,video-3__f000730__t24.400
video-3__f000742__t24.800,video-3,742,24.8,data\frames\video-3\frame_000125.png,selected,140.58585431675115,
video-3__f000748__t25.000,video-3,748,25.0,data\frames\video-3\frame_000126.png,selected,139.48875412823242,
video-3__f000754__t25.200,video-3,754,25.2,data\frames\video-3\frame_000127.png,excluded_duplicate,138.25878753908623,video-3__f000748__t25.000
video-3__f000760__t25.400,video-3,760,25.4,data\frames\video-3\frame_000128.png,selected,137.43826541594333,
video-3__f000766__t25.600,video-3,766,25.6,data\frames\video-3\frame_000129.png,excluded_duplicate,138.5679171890664,video-3__f000760__t25.400
video-3__f000772__t25.800,video-3,772,25.8,data\frames\video-3\frame_000130.png,excluded_duplicate,137.59215525560725,video-3__f000760__t25.400
video-3__f000778__t26.000,video-3,778,26.0,data\frames\video-3\frame_000131.png,selected,136.06045553193968,
video-3__f000784__t26.200,video-3,784,26.2,data\frames\video-3\frame_000132.png,selected,131.733634011567,
video-3__f000790__t26.400,video-3,790,26.4,data\frames\video-3\frame_000133.png,selected,137.0417275821997,
video-3__f000796__t26.600,video-3,796,26.6,data\frames\video-3\frame_000134.png,selected,151.4384342468815,
video-3__f000802__t26.800,video-3,802,26.8,data\frames\video-3\frame_000135.png,selected,130.56908483265175,
video-3__f000808__t27.000,video-3,808,27.0,data\frames\video-3\frame_000136.png,selected,97.00299509656098,
video-3__f000814__t27.200,video-3,814,27.2,data\frames\video-3\frame_000137.png,selected,82.14918302533067,
video-3__f000820__t27.400,video-3,820,27.4,data\frames\video-3\frame_000138.png,selected,127.11690944980508,
